Wall time,Step,Value
1556170188.1864734,267100,1.1566830835363362e-06
1556170305.2273126,269800,6.157939651529887e-07
1556170331.0405347,270400,8.818188916848158e-07
1556170344.072325,270700,6.440038760047173e-07
1556170369.2989068,271300,6.836505690444028e-07
1556170485.243501,274000,5.696376774722012e-07
1556170498.1710925,274300,1.3222747838881332e-06
1556170537.182795,275200,6.193636181706097e-07
1556170614.9606993,277000,8.811242651063367e-07
1556170705.3882148,279100,6.793431452933874e-07
1556170717.8043718,279400,9.978764410334406e-07
1556170730.8454895,279700,1.4351111303767539e-06
1556170756.7350435,280300,1.3001651950617088e-06
1556170782.7655165,280900,9.400677072335384e-07
1556170834.0829473,282100,1.218317720486084e-06
1556170859.9967673,282700,9.091156698559644e-07
1556170898.628909,283600,8.137907343552797e-07
1556170924.4681401,284200,8.077830671027186e-07
1556171028.028301,286600,7.624523163940466e-07
1556171119.1755085,288700,7.468349849659717e-07
1556171157.956049,289600,1.399043640049058e-06
1556171183.2512732,290200,1.771268557604344e-06
1556171222.0978057,291100,5.562827709582052e-07
1556171273.5401459,292300,1.9626531866379082e-06
1556171311.8268836,293200,2.872445293178316e-06
1556171337.6158168,293800,1.6890661527213524e-06
1556171376.1730232,294700,6.40192979517451e-07
1556171497.088449,297400,1.1204610927961767e-06
1556171548.3107908,298600,6.934019438631367e-07
1556171651.0975134,301000,7.64376864026417e-07
1556171663.9912977,301300,7.25557754321926e-07
1556171676.8525262,301600,5.236393576524279e-07
1556171689.73751,301900,4.5940595327920164e-07
1556171715.6186125,302500,8.345726882907911e-07
1556171753.763584,303400,9.560942544339923e-07
1556171766.8229358,303700,6.961169560781855e-07
1556171894.936717,306700,9.69495431490941e-07
1556171933.8372436,307600,7.498398417737917e-07
1556172023.704903,309700,6.394943738996517e-07
1556172036.573464,310000,6.972244364078506e-07
1556172088.9068162,311200,2.507633325876668e-06
1556172127.5346675,312100,8.574651246817666e-07
1556172140.5682611,312400,7.308225917768141e-07
1556172166.6388795,313000,2.4205555746448226e-06
1556172192.720787,313600,6.386648010447971e-07
1556172204.9643857,313900,6.751882892785943e-07
1556172296.2104,316000,5.768565074504295e-07
1556172309.2461662,316300,7.649452413716062e-07
1556172321.5905826,316600,9.933180535881547e-07
1556172334.7261481,316900,8.055350804170303e-07
1556172360.6191022,317500,1.7025889746946632e-06
1556172386.5380895,318100,1.0332914825994521e-06
1556172412.42723,318700,9.356574537378037e-07
1556172425.2844002,319000,4.948510081703716e-07
1556172437.6707113,319300,5.46216654129239e-07
1556172450.6255484,319600,5.426718416856602e-07
1556172528.717112,321400,5.231800059846137e-07
1556172541.7126913,321700,5.879875288883341e-07
1556172554.0369182,322000,6.315204927886953e-07
1556172579.9977555,322600,6.011674713590764e-07
1556172709.3568487,325600,7.877671350797755e-07
1556172735.275836,326200,5.333915851224447e-07
1556172748.1921458,326500,5.187466172174027e-07
1556172774.1311436,327100,1.2417376638040878e-06
1556172852.1116195,328900,5.432339094113559e-07
1556172892.5515418,329800,7.108363888619351e-07
1556173022.1301155,332800,6.343634595395997e-07
1556173086.770951,334300,8.443636261290521e-07
1556173099.9032433,334600,1.267499101231806e-06
1556173151.2046683,335800,6.564716272805526e-07
1556173177.1071086,336400,9.556224540574476e-07
1556173280.314246,338800,1.282505081690033e-06
1556173306.1565926,339400,6.047483793736319e-07
1556173332.2287056,340000,4.5656639713342884e-07
1556173435.5327234,342400,1.3683669521924458e-06
1556173499.9430816,343900,6.22757568180532e-07
1556173525.8463151,344500,1.2790753771696473e-06
1556173564.756622,345400,4.4012128341819334e-07
1556173577.5577207,345700,5.064213723926514e-07
1556173603.104536,346300,4.865445362156606e-07
1556173616.1901567,346600,1.4319875845103525e-06
1556173629.1456256,346900,5.011884240957443e-07
1556173681.6011236,348100,5.811225491925143e-07
1556173733.4524417,349300,5.258931992102589e-07
1556173785.0758746,350500,5.186225280340295e-07
1556173798.2286375,350800,9.559092859490192e-07
1556173823.891627,351400,5.447870989883086e-07
1556173877.1031582,352600,1.907504156406503e-06
1556173966.5115736,354400,7.300685638256255e-07
1556173993.2474327,355000,9.221228083333699e-07
1556174006.140221,355300,5.006222636438906e-07
1556174135.6512713,358300,4.665693040806218e-07
1556174161.501078,358900,4.5972325324328267e-07
1556174212.5956268,360100,5.079706966171216e-07
1556174225.6325474,360400,5.916387522120203e-07
1556174264.8092344,361300,4.2447561554581625e-07
1556174330.0780542,362800,7.173761673584522e-07
1556174343.1029654,363100,5.416281965153757e-07
1556174407.5333965,364600,1.0480462151463144e-06
1556174485.6327114,366400,7.87806527569046e-07
1556174524.062475,367300,1.9834944851027103e-06
1556174550.4370592,367900,4.185390878319595e-07
1556174640.9423459,370000,4.1284863527835114e-07
1556174695.8540962,371200,3.779721851060458e-07
1556174722.028659,371800,6.052578100934625e-07
1556174747.8306243,372400,6.385993742696883e-07
1556174773.549131,373000,1.5884110098340898e-06
1556174825.3866787,374200,1.880941908893874e-06
1556174851.7052686,374800,1.511763002781663e-06
1556174864.4357488,375100,9.485222562943818e-07
1556174916.0499651,376300,4.885513931185415e-07
1556174929.0370803,376600,8.604421282143448e-07
1556174955.0417163,377200,5.873895929653372e-07
1556174968.0877326,377500,5.958030442343443e-07
1556175006.869358,378400,1.3280972552820458e-06
